gene_id	isAS	T0_WT	T30_WT	T60_WT	T90_WT	T120_WT	T0_dko	T30_dko	T60_dko	T90_dko	T120_dko
SPAC13G6.14	FALSE	31.1977796878033	27.706145151122	28.2715017729344	27.559525277588	24.0060122159288	42.1808136909566	37.6201515098682	37.9742384635606	41.8446074992448	38.6993253117914
SPAC13G6.15c	FALSE	14.3971379319225	21.4499999237883	20.866098765987	26.4208248461797	22.1301702857347	15.6339969615612	20.8009724041936	23.3537998350321	31.6488088889875	27.0371449881176
SPAC13G7.01c	FALSE	42.3929224189601	50.4181933467353	46.3208618100173	40.8635127655886	49.2324715370724	52.2385501553204	54.810112826795	53.8411382975218	53.4692236363958	48.704992693853
SPAC13G7.02c	FALSE	96.3208809819838	49.4872948697536	301.846221441684	1074.97507044358	974.553936690688	173.446837115742	71.5410089192806	97.4135312549975	510.541399319007	1006.27074155039
SPAC13G7.03	FALSE	17.5625621682512	22.7873130949987	20.3734623061259	17.9520334437299	16.4360470831532	20.0992378051728	26.0899460859712	23.3862622777377	22.0721965927322	20.9866608442282
SPAC13G7.04c	FALSE	26.2167284263789	33.3764683985081	34.1658186603407	31.7269444532882	35.0296668110355	30.3060332617351	47.6254420949724	49.3446811111556	45.7215545721913	43.8692794494859
SPAC13G7.05	FALSE	13.6851876899793	29.0405305343985	27.8083606374928	24.1142523839728	25.6333991201319	13.1281584354316	23.2923876924223	22.9318798887308	27.9496400885948	22.3233184368397
SPAC13G7.06	FALSE	112.111700491888	91.3995097865273	96.3922748853208	120.394188217516	134.274594745188	106.56428865612	81.3034554332615	92.1794997629725	102.383514195712	126.561055014274
SPAC13G7.07	FALSE	7.74664821214776	4.8567674805726	7.21111781803102	6.47296415352784	5.63692599417733	12.9762512559843	8.96169452022255	9.57324872725648	9.97676762695921	9.25985018739901
SPAC13G7.08c	FALSE	73.1423383056302	41.4746009512839	48.1016341472795	43.4504720962707	49.2854289101281	77.7214188931469	39.6523125645445	43.6131165955841	49.4224143656987	44.0494944973424
SPAC13G7.09c	FALSE	30.5466462122358	32.4921353353474	27.7252091037582	26.6164618627105	26.521461463782	39.6714301861184	35.5483616237046	28.3947917907006	24.4605499497007	26.339731536769
SPAC13G7.10	FALSE	12.7810396277848	22.4625443663432	24.8665283894012	14.9599015295728	18.2502143572163	15.3030275537634	23.5045719038575	26.227487270765	28.344634331123	24.6475087274929
SPAC13G7.11	FALSE	45.842811226806	150.347646726942	75.3442192760591	74.5871932223284	65.3946892718159	47.8059312155973	121.80968015367	107.258451678788	65.4711120426649	53.1511784249023
SPAC13G7.12c	FALSE	18.6619971245387	23.7845385453916	21.5230814527853	20.4325057871565	21.4339857293682	22.5417366560293	21.7959745682984	19.3825071310984	24.375958714456	23.7731511724003
SPAC13G7.13c	FALSE	4.26469217877762	12.0456932319778	8.82625926291915	6.64901201392086	5.98688172713902	8.65372319978296	12.7865030129701	8.11155929891869	5.46640162338149	5.03047795488168
SPAC140.01	FALSE	253.292306428063	246.190240686906	131.923869242712	144.029245166195	174.829896751901	285.976158470002	232.592716383512	125.262224705176	134.065765062449	146.069876586543
SPAC140.02	FALSE	381.258697937883	78.3351586115692	91.765780117623	98.225885399368	102.56968340289	329.002225150932	119.443716438762	88.7904036179933	105.349489593094	107.752208466897
SPAC140.03	FALSE	18.9479693067211	17.9011451427601	31.2814691786937	28.8723304635877	25.6304061772373	24.4583037256577	24.6477460840423	38.7430209810984	36.5396319420837	31.2307525364978
SPAC140.04	FALSE	6.01768996526186	8.88735277016898	8.39377955679169	8.44578642107651	8.16964016176088	9.32104797609307	10.6103682106754	11.1202579095722	12.6019410068878	11.3190655131462
SPAC1420.01c	FALSE	45.9901101063858	50.8891231699307	66.3451668513754	74.2537896379241	77.4087099269902	53.1135296704483	60.5355883141355	76.7581173090879	101.174659177943	97.5259492983795
SPAC1420.02c	FALSE	169.929681217395	124.034650788379	133.266440273104	124.652317330017	132.574688250438	191.849429096954	131.440815193697	130.357682822645	125.976702009866	119.145191018374
SPAC1420.03	FALSE	160.170632141772	206.463664194324	171.955522361632	167.150558143515	195.549712616412	221.447896729337	249.1738275703	207.421349214702	191.783874119093	196.103799851415
SPAC1420.04c	FALSE	11.8288393647757	11.5369024847845	12.5853557596412	13.1630340891887	13.9012724900566	14.1317622790603	10.4753424173926	13.8743491276086	17.3676681425467	16.6616166330618
SPAC144.01	FALSE	77.0940275328434	33.409759867963	27.5080984898386	32.6560082673537	36.143881928838	64.2083122377191	27.677195596035	26.0044602075362	23.1685376371308	27.9882783912434
SPAC144.02	FALSE	25.7920611618996	30.5658412844163	35.3040309950806	25.3534892472738	29.0457395756518	27.7113192766242	31.5343868942308	40.8568444024661	36.9723805507538	32.5479170445981
SPAC144.03	FALSE	425.120940890791	434.636146384069	430.313522968419	391.613012471072	433.632776423435	481.405814255241	460.206461825702	440.198936378584	435.514080651703	413.638457848603
SPAC144.04c	FALSE	198.809560080875	195.5180040366	220.864524624548	226.759963815073	250.920212341244	203.281407303897	204.436018498958	224.789141150897	279.208554178338	289.646524666374
SPAC144.05	FALSE	9.00439969113356	6.45268374683218	9.33418310918383	8.83135824437799	8.46046913017552	15.4169768734767	12.0972576341304	14.6334330395635	14.693354805877	12.9007460726939
SPAC144.06	FALSE	10.070101699637	14.0539437836195	15.4124202033184	13.7356788809357	13.531110127662	18.1063598587698	17.9561626407559	20.5924817074286	22.0826416810643	18.5394896385598
SPAC144.07c	FALSE	16.6259928151287	15.0573469638045	17.4801507634601	18.0461404636203	16.5189487440884	19.2558225135946	18.5404712163795	21.5599360122768	21.6682866009302	23.4347175823248
SPAC144.08	FALSE	7.48598155665719	6.80866190828562	7.56734724117217	8.28432357793244	9.50907176333984	10.5261582690932	9.29006289039135	10.3462990029447	10.7330048616837	10.4220178012469
SPAC144.09c	FALSE	26.6452668831294	19.5848090152896	19.5554737585835	14.4210731380836	13.364791588471	27.3717581667817	21.7529259299973	24.0492658941218	21.4077938735241	18.8375190805011
SPAC144.10c	FALSE	69.4544550773041	114.513295218632	176.906351898794	266.363970277575	290.698502329219	68.4544862489435	97.4949588221044	196.252434565762	296.050883364982	318.862663943716
SPAC144.11	FALSE	2214.64666888651	1616.6473096872	1553.79670343365	1385.72021712781	1190.23846423487	1854.7538644448	1338.25468541208	1050.20301735609	1076.5744480531	961.719798362236
SPAC144.12	FALSE	59.3161483935653	40.2994486516632	34.7906501158387	39.4050574941392	34.5268679684848	48.2886782714629	31.3430743751992	30.6764106104011	31.0508692818374	29.5821439373248
SPAC144.13c	FALSE	3.32939678124196	3.95592072436093	4.96706443595058	3.88538431858875	4.68101410904588	2.24773146744778	3.68338054047694	3.8372186959283	3.99908721131014	3.45326549767924
SPAC144.14	FALSE	14.6984158543255	15.1112433166159	14.9352739916183	12.7564644983487	15.7930039106152	12.7754022899252	16.8497551641814	21.2809083834781	21.1269992529094	16.9388892831561
SPAC144.15c	FALSE	7.83436093062952	9.01783722563026	8.78105786101328	8.96074361804462	9.00145870463362	10.3665195472783	9.81531358109329	10.8020584493861	12.0687045560727	11.8286835047873
SPAC144.16	FALSE	23.4771189287433	23.2966848839076	27.0705887046842	23.4359654270118	25.5218611740937	26.9994259452802	24.5640963531821	28.5691125956411	30.5096705960199	28.8749318396534
SPAC144.17c	FALSE	11.968346736435	14.0742281303411	20.2287670034747	21.5861277675193	24.8391737417026	13.5791724641071	15.5817068837329	19.7044882240203	19.8767223013185	23.9721439470515
SPAC144.18	FALSE	38.3704500538577	45.7743324406992	52.3668693367838	47.626989156507	45.2735389485078	43.3323512555874	46.627709635759	49.6222410419039	58.3721905674418	50.1986494392796
SPAC1486.01	FALSE	210.694412705326	248.80263068677	327.042701811099	425.117164301188	546.158011462138	136.496314753829	176.741395065613	228.498612475307	320.602356620881	390.429907602403
SPAC1486.02c	FALSE	44.351464871879	47.1273311603845	63.5400977543666	62.1918016137699	63.6761193668268	59.6730019167216	60.6635895031524	74.8729683415427	74.7219500178695	74.2797024232921
SPAC1486.03c	FALSE	19.5172026208264	24.5187816065845	26.3504306238956	25.8479392504956	26.4327890927246	20.1517663848576	20.2379999913818	30.1694913646353	38.4936994156671	38.3118368945522
SPAC1486.04c	FALSE	10.2221266581685	14.085473639377	13.4391286675033	12.6099913223152	11.3310057207832	12.3178933235471	14.88279435173	16.2402461115716	16.4092556526519	14.0074565307431
SPAC1486.05	FALSE	23.0304539642733	33.6900861060341	32.1034340208817	28.8396176552743	29.6079868295443	30.4059084072323	37.0429192922232	38.5893360348414	42.0604586216991	36.1524380618972
SPAC1486.06	FALSE	43.7345886388233	42.6236791844509	44.2134342984752	41.2978257278428	42.759387055762	71.0100012760513	65.0204318175731	54.9628115728667	55.9788354513201	57.3360019785605
SPAC1486.07c	FALSE	83.9182409970667	61.2224585775924	67.2712338041763	68.7266252349791	73.6887084547839	90.798027423277	62.5850483481736	56.2649700094074	63.836820595186	60.7053977621178
